№;секунда;миллисекунда
1;1;389.138
2;1;403.102
3;1;419.145
4;1;435.146
5;1;451.223
6;1;467.183
7;1;483.21
8;1;499.203
9;1;515.199
10;1;531.26
11;1;547.065
12;1;563.02
13;1;579.132
14;1;595.197
15;1;611.156
16;1;627.114
17;1;643.072
18;1;658.082
19;1;673.319
20;1;688.482
21;1;703.672
22;1;719.758
23;1;735.72
24;1;750.67
25;1;765.912
26;1;781.867
27;1;797.06
28;1;812.108
29;1;828.025
30;1;843.592
31;1;859.546
32;1;875.503
33;1;891.421
34;1;907.417
35;1;923.377
36;1;939.293
37;1;955.337
38;1;970.833
39;1;986.056
40;2;1.631
41;2;17.46
42;2;32.724
43;2;48.063
44;2;63.396
45;2;79.2
46;2;95.175
47;2;110.602
48;2;126.587
49;2;142.258
50;2;158.223
51;2;174.326
52;2;190.041
53;2;205.739
54;2;221.165
55;2;236.725
56;2;251.84
57;2;267.798
58;2;282.757
59;2;298.715
60;2;314.682
61;2;329.631
62;2;345.59
63;2;361.547
64;2;376.506
65;2;392.465
66;2;407.424
67;2;423.078
68;2;438.311
69;2;453.418
70;2;468.724
71;2;484.554
72;2;500.156
73;2;515.503
74;2;531.576
75;2;547.672
76;2;563.648
77;2;579.513
78;2;594.908
79;2;610.088
80;2;626.095
81;2;641.172
82;2;656.536
83;2;671.972
84;2;683.896
85;2;699.295
86;2;715.283
87;2;730.756
88;2;746.258
89;2;762.051
90;2;777.704
91;2;793.555
92;2;809.567
93;2;824.736
94;2;839.437
95;2;855.069
96;2;871.112
97;2;886.916
98;2;902.761
99;2;918.201
100;2;933.984
101;2;949.357
102;2;965.456
103;2;980.968
104;2;996.453
105;3;11.945
106;3;27.078
107;3;42.416
108;3;57.917
109;3;73.394
110;3;88.524
111;3;104.017
112;3;119.499
113;3;135.6
114;3;150.437
115;3;165.373
116;3;180.87
117;3;196.932
118;3;212.72
119;3;228.922
120;3;244.077
121;3;259.293
122;3;274.538
123;3;290.41
124;3;305.642
125;3;320.802
126;3;336.603
127;3;351.98
128;3;367.27
129;3;382.957
130;3;398.233
131;3;413.39
132;3;428.613
133;3;443.792
134;3;459.223
135;3;474.805
136;3;490.326
137;3;505.283
138;3;520.652
139;3;536.711
140;3;552.659
141;3;568.575
142;3;581.686
143;3;596.902
144;3;612.29
145;3;627.564
146;3;643.746
147;3;659.759
148;3;674.974
149;3;690.932
150;3;706.133
151;3;721.055
152;3;737.052
153;3;753.009
154;3;768.929
155;3;784.92
156;3;800.971
157;3;816.929
158;3;831.942
159;3;847.239
160;3;862.575
161;3;878.113
162;3;893.46
163;3;908.586
164;3;924.094
165;3;939.349
166;3;954.967
167;3;970.878
168;3;985.694
169;4;1.225
170;4;16.772
171;4;32.086
172;4;47.7
173;4;63.712
174;4;79.211
175;4;94.595
176;4;109.87
177;4;125.126
178;4;141.029
179;4;156.454
180;4;172.215
181;4;187.456
182;4;203.021
183;4;218.386
184;4;234.341
185;4;249.662
186;4;265.412
187;4;280.262
188;4;296.216
189;4;311.176
190;4;326.136
191;4;342.095
192;4;358.051
193;4;374.049
194;4;389.968
195;4;405.924
196;4;421.92
197;4;437.877
198;4;452.838
199;4;467.798
200;4;483.757
201;4;499.721
202;4;515.67
203;4;531.627
204;4;546.591
205;4;562.504
206;4;577.504
207;4;593.422
208;4;609.42
209;4;625.377
210;4;641.346
211;4;656.294
212;4;672.251
213;4;688.208
214;4;704.166
215;4;720.124
216;4;736.08
217;4;752.037
218;4;768.008
219;4;783.952
220;4;798.914
221;4;814.832
222;4;829.829
223;4;845.787
224;4;861.744
225;4;877.371
226;4;892.697
227;4;908.251
228;4;923.952
229;4;939.288
230;4;955.174
231;4;970.979
232;4;986.962
233;5;3.088
234;5;18.686
235;5;33.848
236;5;49.814
237;5;64.771
238;5;82.723
239;5;98.682
240;5;125.609
241;5;148.553
242;5;160.518
243;5;176.472
244;5;192.432
245;5;208.389
246;5;224.346
247;5;240.337
248;5;256.347
249;5;271.529
250;5;287.59
251;5;302.832
252;5;317.959
253;5;333.096
254;5;349.015
255;5;364.69
256;5;380.725
257;5;396.769
258;5;412.628
259;5;427.755
260;5;442.993
261;5;458.126
262;5;473.281
263;5;489.379
264;5;505.437
265;5;521.478
266;5;536.436
267;5;552.427
268;5;567.555
269;5;583.66
270;5;598.802
271;5;614.046
272;5;629.187
273;5;644.34
274;5;668.976
275;5;684.598
276;5;700.217
277;5;715.839
278;5;731.463
279;5;774.279
280;5;802.208
281;5;826.14
282;5;842.101
283;5;857.057
284;5;879.996
285;5;904.929
286;5;920.886
287;5;936.844
288;5;952.802
289;5;968.758
290;5;984.715
291;6;0.673
292;6;16.63
293;6;32.588
294;6;48.545
295;6;63.505
296;6;79.462
297;6;94.422
298;6;110.379
299;6;126.337
300;6;142.296
